ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
0e53b25c2a2c7ff515681fd816ddb54b,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unclassified
291daa9a07a675ca47bbcd36a568689b,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unclassified
109020b9932a3f9c724839148dfcc75c,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,unclassified
485c0ff9c05bc335b85b80b9b2137a23,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,unclassified
16657beb21308320af11c73de205e7ea,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unclassified
9f877e94d0e2e911031aea6f08725fe1,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,unclassified
4c27fee7b656d87f6cb18aa821496213,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,unclassified
db4ad98ea0c1570a2c6d721d69099911,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,unclassified
b77c53c6b7d36cd2b06edc584ae06375,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,unclassified
dc9a7664517f5b29b48f26f5d9db2498,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,unclassified
601e3dc474738c41eb1e2d376fc99301,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,unclassified
5187f1db20c0c6ef3460d5fe27cdf01b,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unclassified
6b9af80fabd3e144f4a5d78341bfd7cb,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,unclassified
fd20338baac4ee8f6cb76843fa745139,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,unclassified
ddf8e4cca1d7d13cc0ec203ace755697,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,unclassified
3337b252837c394adcd73ead4c097a6e,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,unclassified
8ee4841116eb0ef6fcdfbfa59be20e1b,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,unclassified
