"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_005","VB0889_007","VB0889_009","VB0889_010","VB0889_011","VB0889_012","VB0889_013","VB0889_014","VB0889_019","VB0889_026","VB0889_029","VB0889_033","VB0889_037","VB0889_039","VB0889_040","VB0889_041","VB0889_043","VB0889_045","VB0889_046","VB0889_053","VB0889_054","VB0889_055","VB0889_056","VB0889_058","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_067","VB0889_071","VB0889_079","VB0889_080","VB0889_087","VB0889_088","VB0889_089","VB0889_093","VB0889_095","VB0889_100","VB0889_104","VB0889_105","VB0889_108","VB0889_110","VB0889_112","VB0889_113","VB0889_116","VB0889_118","VB0889_121","VB0889_122","VB0889_124","VB0889_125","VB0889_129","VB0889_130","VB0889_132","VB0889_133","VB0889_135","VB0889_138"
"116","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Arachnomycetaceae_Arachnomyces_Arachnomyces_pilosus_8d487f5eb1a6285f847ac9e1a8539f5d",0,0,1,0,5,0,0,9,48,0,0,17,0,0,0,0,0,3,0,0,0,0,4,0,5,0,22,0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,8,0,0,0,0,5,0,7,3,0,0,0,4,0,0,6,0,4,2
"117","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_3755060e188aeab34219fbb11bdac4e0",0,0,0,0,134,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0,2,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,4,0,7,0,0,0,1,0
"118","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_c4d4785dead27fc2f245ccf4248a04ee",15,0,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"119","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_ambigua_6ad7d1571580fa85052b62c9af2d8844",0,1,0,0,3,9,0,0,0,1,1,28,0,0,0,5,16,1,0,0,0,3,0,0,0,0,10,1,0,1,4,0,0,2,0,0,0,0,5,0,1,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,8
"120","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascodesmidaceae_Cephaliophora_Cephaliophora_sp_3902fa8da746b3cfbe383b00521d338c",14,0,0,1,1,0,5,5,0,0,0,1,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,2,5,0,1,0,1,0,2,1,1,1,0,1,0,0,1,5,5,1,0,0,0,4,1
"121","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_flavus_2f9297cdaa96a84c203bafc26ad7ef58",0,0,0,0,0,0,0,4,0,0,0,13,0,4,0,0,2,2,0,0,3,7,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,5,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
"122","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_7b34a0d4f90d284ef86532785de39a5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"123","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_46f9869099d8964a5f9af5184b8b1b22",0,0,0,3,0,0,0,0,3,0,0,2,0,5,0,0,4,4,0,0,0,1,8,0,7,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,3,2,0,0,7,0,5,0,1,0,2,0,0,2,0,0,0,0
"124","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_946ecfae9b914145c37abf350d5e51f0",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_bb27b76d8adc795671568329ee0545bd",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,22,0,0,0,2,0,5,0,0,0,1,0,0,1,0,7,4,0,0,0,0,0,0,0,0,0,0
"126","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0c5468ffccf03006f0e0ed81a7604f56",0,1,2,1,1,0,1,0,0,2,3,1,2,0,9,0,12,0,0,0,4,1,0,0,0,0,4,0,2,0,0,3,2,0,9,5,0,6,0,8,0,4,0,4,3,2,0,0,0,0,0,2,0,0,2,9,0,5,0,0,0
