"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090"
"52","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_equiseti_7e870910d95b7f139562f3358ce36d18",110,0,0,0,0,194,0,0,0,309,0,0,0,0,0,0,0,117,0,195,0,0,0,74,0,0,0,0,0,0,0,0,0,58,0,0,29,0,0,0,98,63,81,1034,0,0,0,59
"53","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Enterocarpus_Enterocarpus_grenotii_ba09c722d6bf2c97d098f0d3db863f4c",4,33,14,6,47,7,376,20,32,6,18,24,20,20,25,10,25,14,22,4,28,156,11,7,24,12,55,15,23,38,39,1,10,4,0,29,7,20,35,34,18,16,50,0,50,10,49,22
"54","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_4ba25a2778488728fb114b8f15ae8924",31,0,28,30,41,0,197,90,60,0,18,81,18,26,117,0,26,33,17,29,36,27,36,22,54,27,64,9,55,75,130,0,111,0,38,30,21,43,47,50,0,0,25,0,16,27,274,18
"55","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_dc0dc02f5ef43ca3847a8f849a496016",0,22,29,0,103,178,60,0,15,0,9,7,75,53,0,0,6,0,0,0,772,583,0,0,6,14,12,6,4,0,239,0,152,0,18,110,0,0,0,1,0,160,0,249,326,0,239,0
"56","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_b507e13497e2a6f98e3dd5b7b2672171",0,0,35,45,0,20,0,28,39,58,32,0,30,34,19,39,0,76,44,0,29,0,0,41,50,35,33,0,0,0,37,0,24,6,36,33,16,19,26,18,26,29,39,34,29,0,0,22
"57","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_bee891f9fa6a42e81089047930a19ed5",9,83,0,0,146,0,214,24,0,11,0,13,0,0,150,9,0,48,29,17,637,0,549,9,6,33,52,0,21,24,0,0,0,21,37,597,0,171,317,53,10,0,8,0,91,0,35,0
"58","Fungi_Ascomycota_unclassified_unclassified_unclassified_unclassified_unclassified_1e9048af1082f6a89f87019be9303023",0,0,0,0,24,332,6,6,8,19,13,0,373,136,57,42,172,131,0,0,159,0,77,0,0,0,100,17,1443,0,10,0,0,272,46,13,41,20,0,97,14,0,0,0,43,0,31,39
"59","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_4026253564bfc3341c2172f0811c92c6",0,0,0,1,2,0,0,0,0,0,5,0,0,16,3,0,0,3,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,0,201,0,0,123,0,14,0,0
"60","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_7de0f3867de06fe07f3694dbe10b7f32",0,0,0,49,69,0,149,0,0,0,47,0,0,0,0,0,0,0,6,0,0,115,0,0,0,0,12,0,0,0,0,37,29,0,23,0,6,0,0,18,8,17,0,0,110,15,0,0
"61","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_fusispora_3fda4e2d39ac5f8bc37245b7a47531ce",13,18,10,34,275,0,0,0,58,0,15,61,0,54,0,0,0,0,179,16,31,20,358,0,0,8,15,77,0,45,48,76,25,8,11,10,15,0,28,59,192,0,8,0,14,84,43,3
