"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"36","Fungi_Ascomycota_Leotiomycetes_Thelebolales_Pseudeurotiaceae_Pseudeurotium_Pseudeurotium_hygrophilum_a0040f7f0874264577e70757c8330fd5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Sporormia_Sporormia_sp_d6f397d83d1695a6493662475a7808af",28,7,97,0,89,0,7,7,12,0,0,0,21,8,9,0,0,3,56,0,0,16,39,0,5,1,13,127,145,48,90,23,0,0,7,52,0,0,20,0,37,9,0,32,0,2294,42,18,0,110,0,68,0,16,0,67,11,0
"38","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_6d4c8253e4fc945fe2bdca5b551c32e7",32,60,0,19,19,112,20,18,112,60,50,38,85,25,44,13,8,17,32,45,25,19,20,53,23,22,12,24,30,55,25,59,32,24,27,23,11,19,23,32,33,0,13,33,160,37,27,82,51,38,59,33,35,22,18,42,65,38
"39","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_0712f4c204fb2be1538e6783b0a5ff89",57,4,52,11,22,15,29,29,232,48,21,4,25,27,4,32,74,68,40,117,13,25,21,43,12,64,15,21,14,42,23,35,89,51,22,16,37,81,15,10,33,7,21,49,43,30,135,47,4,57,31,5,19,0,12,41,17,18
"40","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_a6a6a20bc1b2713ee2bae77a856e8fc5",0,0,138,0,0,0,0,0,0,16,93,0,0,0,53,136,0,23,142,0,0,0,163,327,0,0,0,185,43,85,65,84,0,128,27,0,66,163,142,113,0,218,70,0,0,0,102,99,20,0,0,179,0,0,62,33,0,0
"41","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_69b141cd10b5f2821df20410a28eeb20",23,28,0,17,4,14,108,8,0,0,0,0,28,21,0,4,11,18,0,0,18,19,125,52,46,0,9,9,0,11,0,26,70,28,0,8,2,0,0,4,56,0,18,6,10,0,4,7,8,0,18,33,8,0,6,0,24,0
"42","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_f74763de17c09920e4ec24527d682557",31,27,148,18,49,12,20,38,44,36,23,37,17,25,18,22,45,15,37,33,18,37,18,26,12,18,29,51,16,8,17,75,42,31,16,12,28,16,19,18,90,29,14,21,23,38,13,89,14,25,41,72,6,21,12,19,31,34
"43","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_7f84f2f14c7148135a8971e97ab29414",35,69,0,0,17,19,0,61,0,45,33,18,55,32,0,32,0,33,0,67,133,28,21,0,13,0,71,0,10,45,26,33,22,31,38,0,39,77,53,106,0,0,46,57,0,21,13,29,31,0,64,53,11,40,357,16,27,0
"44","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72196ab3fae4e881542aca53b57891ba",0,0,0,0,0,359,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
"45","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_unclassified_291daa9a07a675ca47bbcd36a568689b",16,111,0,12,24,42,0,14,38,19,34,59,70,8,9,17,24,0,26,20,25,32,36,31,33,28,27,17,13,19,36,19,35,24,35,0,17,8,143,21,45,0,0,18,49,23,35,21,12,76,67,24,21,16,19,14,13,29
