"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"52","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Enterocarpus_Enterocarpus_grenotii_ba09c722d6bf2c97d098f0d3db863f4c",11,17,11,30,25,42,32,16,25,13,15,23,11,63,6,18,49,67,54,39,27,50,0,28
"53","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_4ba25a2778488728fb114b8f15ae8924",52,0,0,37,99,38,43,0,66,53,31,66,41,79,15,42,69,71,68,0,0,44,0,23
"54","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_dc0dc02f5ef43ca3847a8f849a496016",0,279,0,14,4,117,96,0,0,0,0,13,28,11,11,0,0,0,3,0,242,0,391,0
"55","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_b507e13497e2a6f98e3dd5b7b2672171",60,28,78,43,0,69,69,74,129,0,46,100,67,45,0,21,25,68,39,51,42,54,45,25
"56","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_bee891f9fa6a42e81089047930a19ed5",0,0,19,0,15,0,0,14,80,25,17,15,43,72,0,0,258,504,69,18,0,12,0,0
"57","Fungi_Ascomycota_unclassified_unclassified_unclassified_unclassified_unclassified_1e9048af1082f6a89f87019be9303023",0,476,49,21,0,598,255,53,217,0,0,0,0,148,33,58,34,0,151,15,0,0,0,52
"58","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_4026253564bfc3341c2172f0811c92c6",4,4,0,17,0,0,28,0,10,0,0,0,0,0,34,0,0,0,0,338,0,0,207,0
"59","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_7de0f3867de06fe07f3694dbe10b7f32",83,0,0,47,0,0,0,0,0,0,0,0,0,19,0,8,0,0,31,14,22,0,0,0
"60","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_fusispora_3fda4e2d39ac5f8bc37245b7a47531ce",50,0,0,15,68,0,79,0,0,19,0,0,9,22,158,16,0,42,80,323,0,8,0,10
"61","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Albifimbria_Albifimbria_verrucaria_6b7a936f14e93d71e00a46a6c4062ee2",12,6,10,7,1,0,49,0,6,6,0,107,75,0,0,56,3,231,0,47,47,0,47,115
"62","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Podosporaceae_gen_Incertae_sedis_Podosporaceae_sp_b6112ab0cbf794f7a2a2f776878bd37f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"63","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_unclassified_70052593f4ccecce2d1079fcb8e20edd",57,24,30,35,47,16,229,78,18,25,34,164,25,61,0,28,27,56,48,12,17,8,0,10
"64","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_Thanatephorus_unclassified_168b7087ff5587e329140638f41ea137",16,36,10,9,41,76,44,85,52,0,8,10,37,79,198,13,40,175,59,68,1,54,3,9
"65","Fungi_Ascomycota_Sordariomycetes_Xylariales_Xylariaceae_Ascotricha_Ascotricha_guamensis_f598dd2c35a26b38462ace9fa0ae80e4",35,26,14,3,9,3,10,21,16,0,34,5,10,15,8,2,19,17,44,0,0,95,22,51
"66","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_99efce9656ff9756cdc469b589eed53b",0,0,0,0,0,85,48,0,0,0,0,37,13,0,55,0,0,0,0,0,0,0,0,28
"67","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_da3ba9132949ff5755979100a5abe50b",0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,581,0,0,0,72
"68","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Sarocladium_Sarocladium_sp_571924899d89894769af5be8b189d164",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_sclerotigenum_7dc7bd97d9ee8c14bebb3acce7cd6c2f",7,10,59,9,14,4,40,12,28,8,0,17,8,13,0,28,19,9,1,76,409,3,558,79
"70","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_unclassified_unclassified_b00ac03587600b6303a38b88ba8c8ef2",75,14,0,0,0,0,0,451,0,33,0,0,94,173,0,0,0,1,87,0,11,0,27,0
