"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"58","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Microbispora_rosea_b0bc1e2c61b1baed3229bf8437f3a6aa",79,72,133,34,76,43,25,78,75,100,117,74,51,26,59,79,0,53,46,37,143,67,109,133
"59","Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_eb175b48283334e153cd542b1756a647",37,50,44,46,58,78,71,23,55,80,48,63,60,61,30,44,121,58,65,62,31,71,129,51
"60","Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Sinobacteraceae_Steroidobacter_unclassified_50bbce82a8539e13e9319515233bb97e",139,180,108,264,119,99,178,107,166,74,73,84,164,57,64,101,145,51,82,94,107,78,201,89
"61","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_mb2424_unclassified_unclassified_b1e6116ad8bbc766c2da02a9c39c3bbe",97,50,78,105,98,83,44,71,44,94,88,130,91,51,63,67,135,111,82,91,85,133,55,103
"62","Bacteria_Acidobacteria_Acidobacteria-6_iii1-15_unclassified_unclassified_unclassified_e08d7621409c9cc29905077ac3d781b7",88,48,52,95,64,111,94,44,54,63,92,105,75,85,53,92,141,114,98,158,68,140,98,54
"63","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_unclassified_unclassified_4bce9cf434b6776a9276ee26f1dff50d",83,71,43,66,79,54,112,51,63,124,82,92,73,107,119,59,85,57,74,144,54,0,90,0
"64","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Skermanella_unclassified_7042264aa1aba88e69ea63406e104976",64,54,80,48,81,68,73,56,87,95,119,89,85,44,56,71,68,62,65,89,69,90,75,71
"65","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptosporangiaceae_Nonomuraea_unclassified_aeedb465a094d4934e5c357dc5d273e0",49,55,46,55,129,59,80,37,72,24,61,0,73,68,46,76,38,78,152,81,64,101,67,49
"66","Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_e3c8ba9699934b10ac2932d8be1c01cc",48,62,70,60,64,48,88,48,74,120,46,77,48,31,39,85,28,58,47,65,56,77,39,40
"67","Bacteria_Firmicutes_Bacilli_Bacillales_unclassified_unclassified_unclassified_82bd79dc4db9e3681c376c90b1604fa8",66,50,55,76,69,105,79,47,79,90,115,78,74,75,14,40,183,100,69,66,41,115,95,60
"68","Bacteria_Proteobacteria_Betaproteobacteria_MND1_unclassified_unclassified_unclassified_c2f1571b81963086f01b86e0c22bc7c2",59,43,57,89,76,93,88,50,77,39,91,42,55,90,26,53,103,56,113,73,64,101,89,45
"69","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Streptomycetaceae_Streptomyces_mashuensis_9b86760f1d24e78119093f5f08f45f71",68,56,85,32,57,79,51,65,78,39,35,61,43,66,27,20,35,108,81,46,40,59,35,30
"70","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_unclassified_unclassified_9bea1ddf0b2ccfd5c8ba7b94c12fcb67",57,66,57,58,104,79,64,97,84,52,62,89,30,92,60,28,125,90,61,64,38,73,84,40
"71","Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_unclassified_unclassified_unclassified_ce8486ede132c09704659e150dc9feb2",58,54,64,41,70,57,58,47,59,78,50,73,49,51,38,65,46,58,56,56,57,45,58,42
"72","Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Kaistobacter_unclassified_f922bb836523db0b8e265a464de54690",72,47,79,48,79,30,63,64,88,64,49,65,73,83,81,41,84,77,56,50,52,124,74,42
"73","Archaea_Crenarchaeota_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_CandidatusNitrososphaera_unclassified_0579902dc61569f2a5cc9360f2931239",59,63,44,69,55,77,62,46,78,61,90,45,67,58,40,27,80,65,54,66,45,67,51,45
"74","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Geodermatophilus_unclassified_833dfe956dff1abbb2d410875b168bfb",57,95,86,44,117,47,39,48,50,76,58,62,59,39,52,103,15,48,53,29,84,85,20,100
