"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"91","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_44d350b5b3a140a693b38c2784eee484",0,34,0,0,40,0,33,0,0,0,25,30,0,23,0,0,0,0,0,0,0,0,0,51,18,5,0,0,0,0,0,33,36,22,11,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"92","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ebd22203707577101721bca6e9038c1f",5,0,0,6,2,8,4,25,0,0,4,0,5,4,16,7,4,5,5,0,4,8,7,3,0,0,2,9,5,5,2,5,2,0,10,0,4,3,3,1,4,5,0,3,0,4,3,4,0,0,9,10,0,5,1,3,12,7
"93","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_9068c3f1f2c67d9b5532230e9d8eee77",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,44,0,2,0,0,0,0,210,0,0,3,2,0,0,4,0,0,3,0,0
"94","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_838358b35f92a101a834fdeffa576e92",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,112,0,0,0,0,0,0,0,0,0,0,41,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5951a7f81b2f0eacaa9f1a66a2ebc6d0",0,0,0,0,0,0,13,0,0,4,0,3,43,4,7,1,0,1,0,0,7,8,10,0,10,1,3,0,4,8,0,0,9,12,0,0,0,1,0,25,13,0,0,0,5,1,3,21,0,0,1,3,7,0,44,4,7,0
"96","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_piperis_c829fbe61c3edf1e62c627b8b0b26c4a",6,7,0,0,43,11,0,0,0,10,0,0,14,0,15,0,0,0,0,0,152,18,0,9,0,0,0,13,3,0,9,0,8,0,12,12,0,7,1,0,0,0,12,23,20,0,0,0,6,11,0,16,5,5,0,0,0,0
"97","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2eb319753ed2db89c070456d74efc7c9",0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"98","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_kyushuense_da7420238c329b42c99e09dbb79c7471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp_2618724a43b62712d10467d2dd1e7c3e",4,6,0,0,5,0,0,0,0,0,0,0,0,6,0,9,0,0,5,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,10,39,1,0,11,0,10,1,8,0,0,3,0,1,0,16,0,0,0,5,1,27,0,70
"100","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_6572f85164ecd388f71d5185981a3236",19,0,0,18,0,0,0,0,0,0,16,0,0,0,17,0,48,0,0,82,0,0,0,0,64,0,17,34,8,0,0,0,0,0,0,0,18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"101","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Bipolaris_unclassified_a20e2909d945774135d2e9eb3c939d20",2,0,0,0,0,10,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,12,4,0,5,476,0,0,4,3,9,0,0,5,0,0,0,0,0,0,0,0,0,0,27,0,0,4,5,0,0,0,0,0,0,0,0,0
"102","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_7d024113792c47324c769ae1b3d0f091",0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,53,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0
"103","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_0fd336f3455c975119dd6695005fa71d",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,16,1,157,0,0,8,0,0,0,13,3,0,30,0,0,0,1,0,0,0,1,0,0,0,0,5,4,0,10,0,0,0,7,1,0,10,0,0
