FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d39e8f8d43d7ea4aec8f3a1bd9900351,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
749d4e82a489658d542d07c9516ae3a4,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
faf3eb0302a6c7979a12cc28e740ff9b,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
435ea4b4826d80e599ac24e96631e151,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
0d7b183158ccfe6dcc0781bf10a8ec1a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
7d6d13ed3ef4dfc8928d9b32b7c02903,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
25d370c167531d661ea0bb2af277614a,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
caac4f03c7b26ac642cb1237104a4504,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
a4e1667a2ca03316110db83c509f0e28,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
16266cbae1d86a33bc2ce847b3bea239,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
78cf814be248b3848860d2368a0341b1,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
fcfa3c2ea22c5afaa0de14efb3ee7467,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
78b089d51d9ecb3b25ef8fdc64d56ad5,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
721b54a702f8598d49ffd81a67f0dd97,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
1ee9d5713b9d9314d831c71b3eaa1a89,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
5ad5a2769b3b6d6e2eeed3154a543613,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
de798a8c9cbb62ba633e08cc822787f9,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unclassified,unclassified
